data,stato,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,casi_da_sospetto_diagnostico,casi_da_screening,totale_casi,tamponi,casi_testati,note
2020-06-02T17:00:00,ITA,5916,408,6324,33569,39893,-1474,318,160092,33530,,,233515,3962292,2477302,
2020-06-03T17:00:00,ITA,5742,353,6095,33202,39297,-596,321,160938,33601,,,233836,3999591,2497337,
2020-06-04T17:00:00,ITA,5503,338,5841,32588,38429,-868,177,161895,33689,,,234013,4049544,2524788,dc-IT-0039
2020-06-05T17:00:00,ITA,5301,316,5617,31359,36976,-1453,518,163781,33774,,,234531,4114572,2565258,
2020-06-06T17:00:00,ITA,5002,293,5295,30582,35877,-1099,270,165078,33846,,,234801,4187057,2599294,
2020-06-07T17:00:00,ITA,4864,287,5151,30111,35262,-615,197,165837,33899,,,234998,4236535,2627188,
2020-06-08T17:00:00,ITA,4729,283,5012,29718,34730,-532,280,166584,33964,,,235278,4263647,2643489,
2020-06-09T17:00:00,ITA,4581,263,4844,28028,32872,-1858,283,168646,34043,,,235561,4318650,2675689,dc-IT-0041;dc-IT-0043
2020-06-10T17:00:00,ITA,4320,249,4569,27141,31710,-1162,202,169939,34114,,,235763,4381349,2713554,
2020-06-11T17:00:00,ITA,4131,236,4367,26270,30637,-1073,379,171338,34167,,,236142,4443821,2746545,
2020-06-12T17:00:00,ITA,3893,227,4120,24877,28997,-1640,163,173085,34223,,,236305,4514441,2784196,dc-IT-0045;dc-IT-0047
2020-06-13T17:00:00,ITA,3747,220,3967,23518,27485,-1512,346,174865,34301,,,236651,4564191,2817076,dc-IT-0049
2020-06-14T17:00:00,ITA,3594,209,3803,22471,26274,-1211,338,176370,34345,,,236989,4620718,2846621,
2020-06-15T17:00:00,ITA,3489,207,3696,22213,25909,-365,303,177010,34371,,,237290,4648825,2864084,dc-IT-0051
2020-06-16T17:00:00,ITA,3301,177,3478,21091,24569,-1340,210,178526,34405,,,237500,4695707,2891846,
2020-06-17T17:00:00,ITA,3113,163,3276,20649,23925,-644,329,179455,34448,,,237828,4773408,2925803,dc-IT-0053
2020-06-18T17:00:00,ITA,2867,168,3035,20066,23101,-824,333,180544,34514,,,238159,4831562,2958724,dc-IT-0055
2020-06-19T17:00:00,ITA,2632,161,2793,18750,21543,-1558,251,181907,34561,,,238011,4889103,2987294,dc-IT-0057;dc-IT-0059
2020-06-20T17:00:00,ITA,2474,152,2626,18586,21212,-331,262,182453,34610,,,238275,4943825,3017169,dc-IT-0061;dc-IT-0063
2020-06-21T17:00:00,ITA,2314,148,2462,18510,20972,-240,224,182893,34634,,,238499,4984370,3041750,
2020-06-22T17:00:00,ITA,2038,127,2165,18472,20637,-335,218,183426,34657,,,238720,5013342,3057902,dc-IT-0065
2020-06-23T17:00:00,ITA,1853,115,1968,17605,19573,-1064,122,184585,34675,,,238833,5053827,3081127,dc-IT-0067;dc-IT-0069
2020-06-24T17:00:00,ITA,1610,107,1717,16938,18655,-918,190,186111,34644,,,239410,5107093,3111364,dc-IT-0071
2020-06-25T17:00:00,ITA,1515,103,1618,16685,18303,-352,296,186725,34678,223905,15801,239706,5163154,3140785,
2020-06-26T17:00:00,ITA,1356,105,1461,16177,17638,-665,259,187615,34708,223440,16521,239961,5215922,3169116,
2020-06-27T17:00:00,ITA,1260,97,1357,15479,16836,-802,175,188584,34716,223262,16874,240136,5277273,3198837,
2020-06-28T17:00:00,ITA,1160,98,1258,15423,16681,-155,174,188891,34738,223272,17038,240310,5314619,3220020,
2020-06-29T17:00:00,ITA,1120,96,1216,15280,16496,-185,126,189196,34744,223254,17182,240436,5341837,3235504,
2020-06-30T17:00:00,ITA,1090,93,1183,14380,15563,-933,142,190248,34767,222901,17677,240578,5390110,3263975,
2020-07-01T17:00:00,ITA,1025,87,1112,14143,15255,-308,187,190717,34788,222564,18196,240760,5445476,3293300,
2020-07-02T17:00:00,ITA,963,82,1045,14015,15060,-195,201,191083,34818,222464,18497,240961,5498719,3322447,
2020-07-03T17:00:00,ITA,956,79,1035,13849,14884,-176,223,191467,34833,222430,18754,241184,5548815,3348127,
2020-07-04T17:00:00,ITA,940,71,1011,13610,14621,-263,235,191944,34854,222324,19095,241419,5600826,3377073,
2020-07-05T17:00:00,ITA,945,74,1019,13623,14642,21,192,192108,34861,222368,19243,241611,5638288,3398239,
